PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J1328-4357,13:28:06.432,0.01,-43:57:44.12,0.1,3,7,54,23,*,0,51360,,PSR,
J1405-4656,14:05:21.4255,0.0008,-46:56:02.31,0.01,-44,6,20,10,*,0,55692.7,,PSR,
J1411+2551,14:11:18.866,0.003,+25:51:08.39,0.07,-3,12,-4,9,*,0,57617,,PSR,
J1417-4402,14:17:30.60,0.09,-44:02:57.4,0.9,-4.7,0.1,-5.1,0.87,0.221,0.071,57022,,Binary PSR,
J1421-4409,14:21:20.9646,0.0003,-44:09:04.541,0.004,-10,8,3,2,*,0,57600,,PSR,
J1430-6623,14:30:40.735,0.002,-66:23:05.55,0.01,-31,5,-21,3,*,0,57600,,PSR,
J1431-4715,14:31:44.6177,0.0002,-47:15:27.574,0.004,-12.01,0.33,14.51,0.26,0.64,0.16,55756.1,,Binary PSR,
J1446-4701,14:46:35.71391,2E-05,-47:01:26.7675,0.0004,-4,0.2,-2,0.3,*,0,55647.8,,PSR,
J1453-6413,14:53:32.665,0.006,-64:13:16.00,0.05,-16,1,-21.3,0.8,*,0,55433,,PSR,
J1455-3330,14:55:47.9701,0.0012,-33:30:46.39,0.039,7.91,0.04,-1.9,0.09,0.9,0.2,55293,Perera+ 2019,PSR,
J1456-6843,14:55:59.923,0.003,-68:43:39.50,0.02,-39.5,0.4,-12.3,0.3,2.2,0.3,57600,,PSR,
J1502-6752,15:02:18.615,0.002,-67:52:16.759,0.018,-6,9,-14,16,*,0,55421.2,,PSR,
J1509+5531,15:09:25.6298,0.0001,+55:31:32.394,0.002,-73.64,0.05,-62.65,0.09,0.47,0.03,52275,,PSR,
J1514-4946,15:14:19.1141,0.0001,-49:46:15.516,0.005,-0.3,3.2,-30,66,*,0,55520,,PSR,
J1518+0204C,15:18:32.788893,2.1E-05,+02:04:47.8153,0.0008,4.67,0.14,-8.24,0.36,*,0,52850,,PSR,
J1518+4904,15:18:16.799084,1.6E-05,+49:04:34.25119,0.00016,-0.67,0.04,-8.53,0.04,*,0,52000,,PSR,
J1527-3931,15:27:58.85,0.05,-39:31:35,1,-33,37,-12,111,*,0,54217,S.J.Dang+ 2020,PSR,CT
J1532+2745,15:32:10.3646,0.0001,+27:45:49.623,0.001,1.542,0.104,18.932,0.111,0.624,0.064,49666,Deller+ 2019,PSR,
J1534-5334,15:34:08.278,0.006,-53:34:19.66,0.08,-27,10,-12,10,*,0,57600,,PSR,
J1537+1155,15:37:09.961730,3E-06,+11:55:55.43387,6E-05,1.482,0.007,-25.285,0.012,0.86,0.18,52077,,PSR,
J1539-5626,15:39:14.06,0.18,-56:26:26.3,0.2,49,13,-36,16,*,0,55408,,PSR,
J1543-0620,15:43:30.1373,0.0001,-06:20:45.332,0.002,-16.774,0.044,-0.312,0.131,0.322,0.036,49423,Deller+ 2019,PSR,
J1543+0929,15:43:38.8250,0.0001,+09:29:16.339,0.002,-7.61,0.06,-2.87,0.07,0.13,0.02,52275,,PSR,
J1543-5149,15:43:44.1498,0.0002,-51:49:54.685,0.002,-4.3,1.4,-4,2,*,0,55522,,PSR,
J1552-4937,15:52:13.2709,0.0004,-49:37:49.744,0.011,-3,3,-13,8,*,0,54033,,PSR,
J1557-4258,15:57:00.2580,0.0009,-42:58:12.66,0.02,-3,1,10,2,*,0,48017,,PSR,
J1559-4438,15:59:41.526126,8E-06,-44:38:45.901778,3.5E-05,1.52,0.14,13.15,0.05,0.384,0.081,54100,,PSR,
J1600-3053,16:00:51.90305,0.00013,-30:53:49.397,0.0061,-0.97,0.01,-7.04,0.05,0.5,0.06,55885,Perera+ 2019,PSR,
J1600-5044,16:00:53.015,0.002,-50:44:21.30,0.04,-5,2,-13,2,*,0,57600,,PSR,
1603-2531,16:03:04.893,0.003,-25:31:47.36,0.07,-34,4,22,18,*,0,50719,S.J.Dang+ 2020,PSR,CT
J1603-7202,16:03:35.67751,4E-05,-72:02:32.72985,0.00019,-2.47,0.03,-7.36,0.04,1.1,0.8,54500,Perera+ 2019,PSR,
J1604-4909,16:04:22.976,0.002,-49:09:57.98,0.03,-12,3,9,5,*,0,57600,,PSR,
J1607-0032,16:07:12.0598,0.0002,-00:32:41.527,0.002,-26.437,0.063,-27.505,0.211,0.934,0.036,46973,Deller+ 2019,PSR,
J1614+0737,16:14:40.902,0.004,07:37:31.70,0.1,-5,12,58,23,*,0,54192,S.J.Dang+ 2020,PSR,CT
J1614-2230,16:14:36.5073,0.0011,-22:30:31.27,0.081,3.6,0.2,-33,1,1.46,0.09,56047,Perera+ 2019,PSR,
J1622-0315,16:22:59.6285,0.0003,-03:15:37.328,0.007,-15.4,1.7,37.5,5.1,*,0,56769,,PSR,
J1622-6617,16:22:03.6681,0.0004,-66:17:16.978,0.006,-3,2,6,4,*,0,55253.1,,PSR,
J1623-0908,16:23:17.6599,0.0001,-09:08:48.733,0.002,-10.769,0.126,23.509,0.118,0.586,0.101,48715,Deller+ 2019,PSR,
J1623-2631,16:23:38.2218,0.0002,-26:31:53.769,0.002,-13.4,1,-25,5,*,0,48725,,PSR,
J1628-3205,16:28:07.02,0.01,-32:05:48.7,0.01,-6.4,1,-19.81,0.82,1.2,0.56,57205.875,Jennings+ 2018,Binary PSR,
J1630+3734,16:30:36.46693,7E-05,+37:34:42.097,0.001,2.4,3.5,-15.9,3.4,*,0,56136,,PSR,
J1640+2224,16:40:16.7450,0.00022,+22:24:08.824,0.0041,2.08,0.01,-11.34,0.02,0.6,0.4,55366,Perera+ 2019,PSR,
J1641+8049,16:41:20.83,0.019,+80:49:52.91,0.043,-11,1,37,3,*,0,56425,,PSR,
J1643-1224,16:43:38.1618,0.0014,-12:24:58.68,0.1,6.03,0.03,4.1,0.1,0.9,0.3,55330,Perera+ 2019,PSR,
J1645-0317,16:45:02.0406,0.0001,-03:17:57.819,0.002,-1.011,0.027,20.523,0.176,0.252,0.235,46515,Deller+ 2019,PSR,
J1650-1654,16:50:27.1694,0.0007,-16:54:42.282,0.02,-15.07,0.05,-6.55,0.14,*,0,50862,,PSR,
J1658-5324,16:58:39.34359,9E-05,-53:24:07.003,0.001,0.2,0.8,4.9,0.23,*,0,55520,,PSR,
J1703-1846,17:03:51.0915,0.0002,-18:46:14.845,0.006,-0.73,0.08,16.92,0.19,0.35,0.05,49905,,PSR,
J1705-1906,17:05:36.09,0.17,-19:06:39,23,-77,2,-52,17,*,0,48733,,PSR,
J1708−3426,17:08:57.78,0.002,-34:26:44.80,0.1,-31,9,123,45,*,0,54565,S.J.Dang+ 2020,PSR,T
J1708-3506,17:08:17.62215,0.0001,-35:06:22.640,0.004,-5.3,0.8,-2,3,*,0,55132.9,,PSR,
J1709-1640,17:09:26.4413,0.0015,-16:40:57.73,0.16,-2,1,47,10,*,0,46993,,PSR,
J1709+2313,17:09:05.792,0.006,+23:13:27.85,0.01,-3.2,0.7,-9.7,0.9,*,0,51145,,PSR,
J1710+4923,17:10:04.4410,0.0013,+49:23:11.478,0.014,-50.4,0.2,-44.7,0.2,*,0,56850,,PSR,
J1713+0747,17:13:49.53356,2.4E-05,+07:47:37.4825,0.00082,4.924,0.001,-3.913,0.002,0.83,0.02,55391,Perera+ 2019,PSR,
J1719-1438,17:19:10.07293,5E-05,-14:38:00.942,0.004,1.9,0.4,-11,2,*,0,55235.5,,PSR,
J1720-0212,17:20:57.269,0.011,-02:12:23.9,0.5,-1,4,-26,5,*,0,49429,,PSR,
J1721-2457,17:21:05.4979,0.0003,-24:57:06.17,0.05,2,1,-26,14,*,0,55000,Perera+ 2019,PSR,
J1722-3207,17:22:02.959,0.002,-32:07:45.3,0.2,-1,5,-40,27,*,0,57600,,PSR,
J1722−3632,17:22:09.793,0.002,-36:32:55.00,0.1,-19,7,-110,34,*,0,53882,S.J.Dang+ 2020,PSR,CT
J1723-2837,17:23:23.1856,0.0008,-28:37:57.17,0.11,-11.713,0.082,-23.99,0.062,1.077,0.054,55667,Jennings+ 2018 ,Binary PSR,
J1727-2946,17:27:15.09493,0.00017,-29:46:36.797,0.017,0.6,0.9,0,8,*,0,54723,,PSR,
J1730-2304,17:30:21.66624,8E-05,-23:04:31.19,0.02,20.2,0.3,-1,6,1.7,0.2,54500,Perera+ 2019,PSR,
J1731-1847,17:31:17.609823,1.7E-05,-18:47:32.666,0.003,-1.7,0.3,-6,3,*,0,55215.1,,PSR,
J1731-4744,17:31:42.160,0.005,-47:44:36.26,0.06,73,15,-132,14,*,0,53000,,PSR,
J1732-5049,17:32:47.766731,1.9E-05,-50:49:00.1917,0.0004,-0.37,0.08,-9.9,0.2,*,0,54500,Perera+ 2019,PSR,
J1733-3716,17:33:26.760,0.002,-37:16:55.19,0.1,4,9,63,34,*,0,55359,,PSR,
J1735-0724,17:35:04.9730,0.0001,-07:24:52.130,0.001,0.82,0.06,20.63,0.06,0.15,0.04,49887,,PSR,
J1738+0333,17:38:53.9680,0.00025,+03:33:10.883,0.01,7.12,0.04,5,0.1,0.68,0.05,56258,Perera+ 2019,PSR,
J1739-2903,17:39:34.289,0.001,-29:03:02.30,0.2,10,4,84,41,*,0,54598,S.J.Dang+ 2020,PSR,CT
