n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
227,J0855-4644,08:55:36.1,-46:44:13.4,0.064686,7.26E-15
228,J0855-4658,08:55:19.5,-46:58:22.6,0.575072,1.36E-14
229,J0856-6137,08:56:59.3,-61:37:53.3,0.962509,1.68E-15
230,J0857+3349,08:57:07.0,+33:49:17.0,0.242961,2.4E-16
231,J0857-4424,08:57:55.8,-44:24:10.6,0.326786,2.09E-14
232,J0900-3144,09:00:43.9,-31:44:30.8,0.01111,4.89E-20
233,J0901-4624,09:01:40.1,-46:24:48.5,0.441995,8.75E-14
234,J0902-6325,09:02:32.4,-63:25:12.0,0.660313,1.07E-16
235,J0904-4246,09:04:59.2,-42:46:14,0.965171,1.89E-15
236,J0904-7459,09:04:10.8,-74:59:42.8,0.549553,4.63E-16
237,J0905-4536,09:05:23.9,-45:36:53.0,0.988281,1.49E-16
238,J0905-5127,09:05:51.9,-51:27:54.0,0.346301,2.49E-14
239,J0905-6019,09:05:15.2,-60:19:22.0,0.340854,5.22E-16
240,J0907-5157,09:07:15.9,-51:57:59.2,0.253558,1.84E-15
241,J0908-1739,09:08:38.1,-17:39:37.6,0.401626,6.69E-16
242,J0908-4913,09:08:35.4,-49:13:05.0,0.106769,1.51E-14
243,J0909-7212,09:09:36.0,-72:12:08.4,1.36289,3.33E-16
244,J0912-3851,09:12:42.7,-38:51:03,1.526085,3.59E-15
245,J0919-6040,09:19:27.8,-60:40:50.4,1.216976,1E-17
246,J0921+6254,09:21:14.1,+62:54:14,1.567994,3.61E-15
247,J0922+0638,09:22:14.0,+06:38:23.3,0.430627,1.37E-14
248,J0922-4949,09:22:14.9,-49:49:12.0,0.950289,9.76E-14
249,J0924-5302,09:24:08.6,-53:02:44.2,0.746295,3.55E-14
250,J0924-5814,09:24:30.8,-58:14:05.1,0.739505,4.92E-15
251,J0927+2345,09:27:45.2,+23:45:10.7,0.761889,3.05E-16
252,J0930-2301,09:30:02.8,-23:01:45,1.807069,3.36E-15
253,J0932-3217,09:32:39.1,-32:17:14.2,1.931627,2.5E-16
254,J0932-5327,09:32:22.8,-53:27:11.0,4.392159,8.37E-15
255,J0934-4154,09:34:58.2,-41:54:19.5,0.570409,2.69E-16
256,J0934-5249,09:34:28.2,-52:49:27.4,1.444777,4.66E-15
257,J0940-5428,09:40:58.2,-54:28:40.6,0.087545,3.29E-14
258,J0941-5244,09:41:41.1,-52:44:04.4,0.658558,1.14E-15
259,J0942-5552,09:42:15.8,-55:52:52.3,0.664367,2.29E-14
260,J0942-5657,09:42:54.4,-56:57:43.2,0.808164,3.96E-14
261,J0943+1631,09:43:30.1,+16:31:37,1.087418,9.11E-17
262,J0943+2253,09:43:32.3,+22:53:05.6,0.532975,8.98E-17
263,J0944-1354,09:44:28.9,-13:54:41.6,0.570264,4.53E-17
264,J0944+4106,09:44:18.1,+41:06:05,2.229431,4.42E-15
265,J0945-4833,09:45:38.2,-48:33:14.5,0.331586,4.83E-15
266,J0946+0951,09:46:07.6,+09:51:55,1.097706,3.49E-15
267,J0947+2740,09:47:21.2,+27:40:43.5,0.851014,4.3E-16
268,J0949-6902,09:49:20.5,-69:02:41.6,0.640016,6.37E-16
269,J0952-3839,09:52:17.2,-38:39:10.2,1.373815,5.8E-16
270,J0953+0755,09:53:09.3,+07:55:35.7,0.253065,2.3E-16
271,J0954-5430,09:54:06.0,-54:30:52.8,0.472851,4.39E-14
272,J0955-5304,09:55:29.4,-53:04:16.5,0.862122,3.53E-15
273,J0957-5432,09:57:56.0,-54:32:03.9,0.203557,1.95E-15
274,J0959-4809,09:59:26.2,-48:09:47.5,0.670086,8.2E-17
275,J1000-5149,10:00:28.1,-51:49:58.1,0.255677,9.59E-16
276,J1001-5507,10:01:37.8,-55:07:08.6,1.436631,5.17E-14
277,J1001-5559,10:01:08.6,-55:59:00.2,1.661177,8.6E-16
278,J1001-5939,10:01:32.2,-59:39:17.8,7.73364,5.99E-14
279,J1002-5559,10:02:57.9,-55:59:37,0.777501,1.57E-15
280,J1002-5919,10:02:20.5,-59:19:37.2,0.713489,1.04E-16
281,J1003-4747,10:03:21.5,-47:47:01.2,0.307074,2.07E-15
282,J1006-6311,10:06:36.6,-63:11:41.2,0.835797,5.73E-16
283,J1012-2337,10:12:33.7,-23:38:22,2.517945,8.81E-16
284,J1012-5830,10:12:54.9,-58:30:25.6,2.133591,3.77E-14
285,J1012-5857,10:12:48.4,-58:57:48.7,0.819926,1.78E-14
286,J1013-5934,10:13:31.8,-59:34:26.6,0.442901,5.57E-16
287,J1015-5719,10:15:37.9,-57:19:12.8,0.139882,5.74E-14
288,J1016-5345,10:16:31.2,-53:45:13.8,0.769584,1.93E-15
289,J1016-5819,10:16:12.0,-58:19:01.0,0.087834,6.99E-16
290,J1016-5857,10:16:21.1,-58:57:12.1,0.107386,8.08E-14
291,J1017-5621,10:17:12.8,-56:21:30.5,0.503463,3.14E-15
292,J1018-1642,10:18:40.3,-16:42:10,1.804695,1.74E-15
293,J1019-5749,10:19:52.1,-57:49:05.9,0.162499,2.01E-14
294,J1020-5921,10:20:14.0,-59:21:34,1.238305,4.05E-14
295,J1020-6026,10:20:11.4,-60:26:06.3,0.140481,6.74E-15
296,J1021-5601,10:21:24.8,-56:01:50.9,0.670026,5.34E-17
297,J1022+1001,10:22:57.9,+10:01:52.7,0.016453,4.33E-20
298,J1022-5813,10:22:28.1,-58:13:30,1.643726,1.45E-13
299,J1023-5746,10:23:02.9,-57:46:05,0.111472,3.84E-13
300,J1028-5819,10:28:28.0,-58:19:05.2,0.091403,1.61E-14
301,J1031-6117,10:31:02.2,-61:17:50.6,0.306411,1.78E-15
302,J1032-5206,10:32:27.6,-52:06:08.5,2.407622,1.79E-14
303,J1032-5911,10:32:07,-59:10,0.464208,3E-15
304,J1034-3224,10:34:19.5,-32:24:26,1.15059,2.3E-16
305,J1035-6345,10:35:03.0,-63:45:18.4,0.579577,3.5E-16
306,J1036-4926,10:36:13.1,-49:26:21.2,0.510369,1.65E-15
307,J1036-6559,10:36:20.0,-65:59:09.2,0.533502,1.36E-15
308,J1038+0032,10:38:26.9,+00:32:43.6,0.028852,6.7E-20
309,J1038-5831,10:38:19.7,-58:31:27.1,0.661992,1.25E-15
310,J1041-1942,10:41:36.1,-19:42:13.6,1.386368,9.45E-16
311,J1042-5521,10:42:00.4,-55:21:06.2,1.170867,6.72E-15
312,J1043-6116,10:43:55.2,-61:16:50.7,0.288605,1.04E-14
313,J1044-5737,10:44:32.8,-57:37:19.3,0.139029,5.46E-14
314,J1046+0304,10:46:43.2,+03:04:06.9,0.326271,1.24E-16
315,J1046-5813,10:46:18.8,-58:13:52.0,0.369428,1.15E-15
316,J1047-3032,10:47:00.8,-30:32:18,0.330328,6.1E-17
317,J1047-6709,10:47:28.2,-67:09:51.0,0.198451,1.69E-15
318,J1048-5832,10:48:13.0,-58:32:06.2,0.123725,9.61E-14
319,J1048-5838,10:48:12.5,-58:38:19.0,1.231305,1.22E-14
320,J1049-5833,10:49:50.3,-58:33:44.6,2.202325,4.41E-15
321,J1050-5953,10:50:07.1,-59:53:21.4,6.452077,3.81E-11
322,J1052-5954,10:52:38.1,-59:54:44.1,0.180592,2E-14
323,J1052-6348,10:52:53.3,-63:48:16.6,0.38383,3.87E-16
324,J1054-5943,10:54:57.7,-59:43:14.1,0.346909,4.07E-15
325,J1054-5946,10:54:30.4,-59:46:31.0,0.228324,2.09E-16
326,J1054-6452,10:54:08.8,-64:52:37.5,1.840004,3.14E-15
327,J1055-6022,10:55:48.5,-60:22:52,0.947558,9.24E-14
328,J1055-6028,10:55:39.1,-60:28:37.5,0.099661,2.95E-14
329,J1055-6236,10:55:54.6,-62:36:48.3,0.448635,7.08E-16
330,J1055-6905,10:55:44.7,-69:05:11.4,2.919397,2.03E-14
331,J1056-5709,10:56:43.7,-57:09:34.5,0.676082,5.76E-16
332,J1056-6258,10:56:25.5,-62:58:47.6,0.422451,3.58E-15
333,J1056-7117,10:56:45.9,-71:17:53.3,0.02631,6.3E-20
334,J1057-4754,10:57:53.1,-47:54:57.6,0.628306,2.25E-16
335,J1057-5226,10:57:59.0,-52:26:56.3,0.197115,5.84E-15
336,J1057-5851,10:57:09.5,-58:51:07,0.620365,1.01E-13
337,J1057-7914,10:57:27.4,-79:14:24.2,1.347402,1.33E-15
338,J1058-5957,10:58:34.2,-59:57:36.4,0.61627,6.57E-16
339,J1059-5742,10:59:00.8,-57:42:14.5,1.185003,4.3E-15
340,J1059+6459,10:59:27.5,+64:59:32,3.63117,5.74E-15
341,J1101-6101,11:01:44.9,-61:01:39.6,0.0628,8.56E-15
342,J1103-6025,11:03:31.4,-60:25:36.3,0.396587,9.9E-16
343,J1104-6103,11:04:17.2,-61:03:03.8,0.280905,1.97E-15
344,J1105-4353,11:05:24.8,-43:53:05,0.351112,2.5E-15
345,J1105-6037,11:05:00.4,-60:37:16.3,0.194938,2.18E-14
346,J1105-6107,11:05:26.1,-61:07:48.9,0.063202,1.58E-14
347,J1106-6438,11:06:28.4,-64:39:00.0,2.717934,2.33E-15
348,J1107-5907,11:07:34.4,-59:07:18.7,0.252773,9.01E-18
349,J1107-5947,11:07:58.7,-59:47:04,1.516531,3.4E-16
350,J1107-6143,11:07:12.3,-61:43:59,1.799396,1.56E-13
351,J1110-5637,11:10:00.4,-56:37:32.6,0.558254,2.06E-15
352,J1112-6103,11:12:14.8,-61:03:31.1,0.064962,3.15E-14
353,J1112-6613,11:12:38.5,-66:13:04.8,0.334213,8.24E-16
354,J1112-6926,11:12:51.0,-69:26:31.0,0.820484,2.84E-15
355,J1114-6100,11:14:22.5,-61:00:34.2,0.88082,4.61E-14
356,J1115+5030,11:15:38.4,+50:30:12.2,1.65644,2.49E-15
357,J1115-6052,11:15:53.7,-60:52:18.6,0.259779,7.23E-15
358,J1116-2444,11:16:23.2,-24:44:56.1,0.867949,9.85E-16
359,J1116-4122,11:16:43.0,-41:22:43.9,0.943158,7.95E-15
360,J1117-6154,11:17:23.8,-61:54:22,0.505097,1.25E-14
361,J1117-6447,11:17:45.0,-64:47:58,1.155272,2.4E-16
362,J1119-6127,11:19:14.3,-61:27:49.5,0.407963,4.02E-12
363,J1119-7936,11:19:40.8,-79:36:30.3,2.280597,3.67E-15
364,J1121-5444,11:21:19.0,-54:44:05.1,0.535787,2.78E-15
365,J1123-4844,11:23:15.6,-48:44:22.7,0.244838,6.54E-17
366,J1123-6102,11:23:41.7,-61:02:06.2,0.640234,6.46E-15
367,J1123-6259,11:23:55.5,-62:59:10.9,0.271436,5.26E-15
368,J1123-6651,11:23:52.2,-66:51:49.0,0.232976,2.75E-15
